id,name,code,operating_unit_id,partner_id/id
stock.warehouse0,สก.,สก.,สก.,base.main_partner
base.stock_warehouse_22,ศช.,ศช.,ศช.,base.main_partner
base.stock_warehouse_23,ศว.,ศว.,ศว.,base.main_partner
base.stock_warehouse_24,ศอ.,ศอ.,ศอ.,base.main_partner
base.stock_warehouse_25,ศจ.,ศจ.,ศจ.,base.main_partner
base.stock_warehouse_26,ศน.,ศน.,ศน.,base.main_partner
